Rxns	ranges	minFlux	maxFlux
r_0001	0	0	0
r_0002	0	0	0
r_0004	0	0	0
r_0005	0.00011045528743732	0.003409215225	0.00351967051243732
r_0006	0.00011045528743732	0.003409215225	0.00351967051243732
r_0007	0.0153567921916672	0.005465343	0.0208221351916672
r_0013	0	0	0
r_0014	1.34474629613668e-06	4.150575e-05	4.28504962961367e-05
r_0015	1.34474629613668e-06	4.150575e-05	4.28504962961367e-05
r_0016	0.0132405016396554	0.00701572949992571	0.0202562311395811
r_0017	0	0	0
r_0018	1.97845212435155e-15	0.00687611925	0.00687611925000198
r_0019	0.00946179520408627	0	0.00946179520408627
r_0020	0	0	0
r_0021	0	0	0
r_0022	0	0	0
r_0023	-1.6383595868863e-14	-0.00777247575	-0.00777247575001638
r_0024	0.022199778359417	0	0.022199778359417
r_0025	0.0223925316192094	0	0.0223925316192094
r_0026	0	0	0
r_0027	0.280636845753159	0.00687611925002329	0.287512965003183
r_0028	0	0	0
r_0029	0.0146200558692094	0.00777247575	0.0223925316192094
r_0030	0	0	0
r_0032	0.108470764975327	0	0.108470764975327
r_0033	0.336764214898272	0	0.336764214898272
r_0034	0	0	0
r_0035	0	0	0
r_0036	0.336764214886516	0	0.336764214886516
r_0037	0	0	0
r_0038	2.68949259227337e-06	8.30115e-05	8.57009925922734e-05
r_0039	0.0126123880783052	0.0158714634	0.0284838514783051
r_0040	0.0126123880783052	0.0158714634	0.0284838514783051
r_0041	0	0	0
r_0042	0.0569677029557876	0	0.0569677029557876
r_0043	0	0	0
r_0045	0	0	0
r_0057	0.0135603112505836	0	0.0135603112505836
r_0058	0	0	0
r_0060	-0.0133668419030237	-0.00777247575	-0.0211393176530237
r_0061	0.0447850632380194	0	0.0447850632380194
r_0062	0.0187553863365271	0	0.0187553863365271
r_0063	0.00946179520408627	0	0.00946179520408627
r_0064	0.0132405016395811	0	0.0132405016395811
r_0065	0.0126123880783052	0.0158714634	0.0284838514783051
r_0066	0.0126123880783052	0	0.0126123880783052
r_0067	0.0126123880783052	0	0.0126123880783052
r_0068	0	0	0
r_0069	0	0	0
r_0072	0.0146200558692094	0	0.0146200558692094
r_0073	0	0	0
r_0075	0	0	0
r_0079	0.00998764074912239	0.000468109390251385	0.0104557501393738
r_0080	0.0745012179691189	0	0.0745012179691189
r_0081	1.08668185954446e-08	3.35399818141013e-07	3.46266636736458e-07
r_0085	0	0	0
r_0086	0	0	0
r_0088	0	0	0
r_0089	0	0	0
r_0090	0.561273691475478	0	0.561273691475478
r_0091	0	0	0
r_0092	0	0	0
r_0095	0	0	0
r_0096	0.0187553863365885	0.0153617392499386	0.0341171255865271
r_0097	0.0187553863365885	0.0153617392499386	0.0341171255865271
r_0099	0	0	0
r_0100	0.038955758559251	0	0.038955758559251
r_0101	0	0	0
r_0102	0.0271206225003902	0	0.0271206225003902
r_0103	0.0163955190331422	0	0.0163955190331422
r_0104	8.80019412276038	-6.9067784824739e-10	8.80019412206971
r_0105	0.0135603112505836	0	0.0135603112505836
r_0106	0.0135603112505836	0	0.0135603112505836
r_0107	0.027120622501029	0	0.027120622501029
r_0108	0	0	0
r_0109	0.11041449669099	0.189173646702383	0.299588143393373
r_0111	0.537792990991635	0	0.537792990991635
r_0112	0.898495428259579	0	0.898495428259579
r_0113	0.561273691506261	0	0.561273691506261
r_0114	0	0	0
r_0115	0.0244429277098712	0.00756159299999126	0.0320045207098625
r_0118	0.0244429277098712	0.00756159299999126	0.0320045207098625
r_0120	0.0135603112505836	0	0.0135603112505836
r_0121	0.0135603112505836	0	0.0135603112505836
r_0122	0	0	0
r_0123	0.0135603112505836	0	0.0135603112505836
r_0124	0.0194778792801487	0	0.0194778792801487
r_0125	0.0135603112505836	0	0.0135603112505836
r_0126	0.114900270687824	0	0.114900270687824
r_0127	0.114900270687895	0	0.114900270687895
r_0128	0.11490027068767	0	0.11490027068767
r_0129	0.114900270687014	0	0.114900270687014
r_0130	0.114900270687919	0	0.114900270687919
r_0131	0.00371289701677215	0	0.00371289701677215
r_0132	0.00371289701694648	0	0.00371289701694648
r_0133	0.00371289701679833	0	0.00371289701679833
r_0134	0.00371289701679505	0	0.00371289701679505
r_0135	0.00371289701681131	0	0.00371289701681131
r_0137	0	0	0
r_0139	0	0	0
r_0142	0.0311526419466944	0.000731567038035518	0.0318842089847299
r_0143	0.280636845737281	0	0.280636845737281
r_0144	0.0311526419466944	0.000731567038035518	0.0318842089847299
r_0145	0	0	0
r_0146	0	0	0
r_0147	0.336764214898272	0	0.336764214898272
r_0148	3.17945420009258	0	3.17945420009258
r_0149	1.12254738300035	0	1.12254738300035
r_0150	0.420955268630109	0	0.420955268630109
r_0151	0.00998764074912239	0.000468109390251385	0.0104557501393738
r_0152	0.280636845742317	0.00567743318525139	0.286314278927569
r_0153	0.280636845742317	0.00567743318525139	0.286314278927569
r_0154	0.100239378175454	0.00823138679987262	0.108470764975327
r_0156	2.85239327260822	0	2.85239327260822
r_0157	0.000255026380908749	0.00787141875	0.00812644513090875
r_0163	1000	0	1000
r_0164	0	0	0
r_0165	999.763551267905	0	999.763551267905
r_0166	0.0124755210382503	0	0.0124755210382503
r_0167	0.0124755210381668	0	0.0124755210381668
r_0168	0.0122042550872645	0	0.0122042550872645
r_0169	0	0	0
r_0170	0	0	0
r_0171	0	0	0
r_0172	0	0	0
r_0173	2.4386925295975	0	2.4386925295975
r_0174	1.03713532408413	0	1.03713532408413
